,"scrape_date","product_collections","Brand","Product","Price Per Gram","unit_of_measurement","Product_URL","THC %","CBD %","Prices","availability","product_sku","thc_percent_low_end_of_range","thc_percent_high_end_of_range","cbd_low_end_of_range","cbd_high_end_of_range","grow_method","trimming_method","growing_region","growing_region_cleaned","latitude","longitude","strain_name","plant_type","potency","brand","licensed_producer","long_product_description","Unnamed: 0","terpenes","actual_product_type","product_name_link_markdown"
14,"2023-12-30","Dried Flower","5 Points Cannabis","Cherry Blossom",,,"https://ocs.ca/products/cherry-blossom-5-points-cannabis",1,18,,,,0,2,15,21,"Hybrid-Greenhouse",,"Pierreville","Pierreville",46.070134,-72.810173,,"Indica Dominant","Very Mild","5 Points Cannabis","5 Points Cannabis","Cherry Blossom is a CBD hemp flower product. It has a medium/high CBD intensity and a very low amount of THC. This product is grown in the sun in living soil and hang dried to fully develop its flavours.",,,"Dried Flower","[Reserva Privada OG18](https://ocs.ca/products/reserva-privada-og18-strain-rec)"
16,"2023-12-30","Dried Flower","7 Farms Down","Cherry Boat",,,"https://ocs.ca/products/cherry-boat-7-farms-down",22.5,0.5,,,,20,25,0,1,"Outdoor",,"Southwester Ontario",,,,,"Sativa Dominant","Very Strong","7 Farms Down","J.P. Mariwell Inc.","Selected from a sativa-dominant worked line, Cherry Boat was bred in-house for its potency and flavours that flowers rapidly for a seamless late summer harvest. This truly unique cultivar blends one of Canada’s strongest heirloom genetics -- an 11 week Pink Kush S1 -- with its heightened THC potential crossed with the delicious aromas and flavours of Top Dawgs Cherry Chem. Grown in sunny southwestern Ontario and cared for by a talented team of legacy growers and breeders, Cherry Boat reeks of sweet fruit with earthy chocolate undertones and a whole lot of funk. Bred by, selected by and grown by 7 Farms Down.",,,"Dried Flower","[Royal Collection Redees Pre-Roll (King Pack)](https://ocs.ca/products/royal-collection-redees-pre-roll-king-pack-redecan)"
17,"2023-12-30","Dried Flower","7 Farms Down","Triangle Kush 3000",,,"https://ocs.ca/products/triangle-kush-3000-7-farms-down",23.5,0.5,,,,21,26,0,1,"Outdoor",,"Merlin","Merlin",42.2408775,-82.2314,,"Sativa Dominant","Very Strong","7 Farms Down","J.P. Mariwell Inc.","Our in-house bred Triangle Kush 3000 is a sativa-dominant cross of CSI:Humboldt 'infamous' T-1000 (Triangle Kush x Purple Urkle) cut crossed with Sky Cuddler Double Kush (Meangene aka Freeborn Selections). Our Triangle Kush 3000 was bred for potency, flavour and a short flowering time. It was grown in sunny southwestern Ontario and cared for by a talented team of legacy growers and breeders to offer an unparalleled experience. Featuring strong THC potency potential. Its aroma is pungent, sweet and spicy with slight floral funkiness and gassy notes. Bred by, selected by and grown by 7 Farms Down.",,,"Dried Flower","[All Flower (3CT) FPOG Pre-Roll](https://ocs.ca/products/all-flower-3ct-fpog-pre-roll-greybeard)"
21,"2023-12-30","Dried Flower","7ACRES","Purple Pancakes",7.23,"g","https://ocs.ca/products/purple-pancakes-7acres-jack-haze",27.5,0.015,25.31,"In stock online",688083014208,24,31,0,0.03,,,"Triverton","Tiverton",44.3886196,-66.2138548,"Purple Pancakes","Indica Dominant","Very Strong","7ACRES","Canopy Growth","7ACRES Purple Pancakes is an indica-dominant hybrid. A unique cross of Slurricane and Pancakes, this particular phenotype was selected by Purple Farms Genetics. This cultivar has incredible bag appeal with frosty, dense and chunky light to medium green buds with orange pistils. Expressing aromatic notes representative of both parents in its lineage, you’ll be hit with sweet, buttery cake notes coming from Pancakes (London Pound Cake x Kush Mints), backed with creamy tropical berry notes from Slurricane (Dosidos x Purple Punch) and hints of gas that directly translate to flavour. Indoor grown in Ontario, whole plant hang and meticulously hand polished.",,,"Dried Flower","[Pink Cookies](https://ocs.ca/products/pink-cookies-big-bag-o-buds)"
22,"2023-12-30","Dried Flower","7ACRES","Platinum Kush Breath",,,"https://ocs.ca/products/platinum-kush-breath-7acres-1",28,0.01,,,,25,31,0,0.02,,,"Triverton","Tiverton",44.3886196,-66.2138548,,"Hybrid","Very Strong","7ACRES","Canopy Growth","7ACRES Platinum Kush Breath is a high THC, high terpene indica leaning hybrid with a beautiful dense bud structure and abundant trichome coverage. This cultivar exhibits a pungent and complex aromatic profile of sweet lemon, fruity berry, funky earth and a hint of black pepper. Cross of OG Kush Breath and Platinum. Indoor grown in Ontario, whole plant hang dried and meticulously hand polished.",,,"Dried Flower","[Kush Mints](https://ocs.ca/products/kush-mints-tweed)"
23,"2023-12-30","Dried Flower","Ancestral Seeds","Sugar Diesel Feminized Seeds",,,"https://ocs.ca/products/sugar-diesel-feminized-seeds-ancestral-seeds",,,54.3,"Out of stock",,,,,,"Outdoor",,,,,,,"Hybrid",,"Ancestral Seeds",,"Get ready to hear “I can’t believe it’s not indoor!” A truly new school meets old school variety of feminized autoflower seeds. With 4-5% terps and terpinolene dominance, this unique strain is a powerhouse for flavour. Hints of lime and pine round out the aroma nicely. Finishing time late August to early September, outdoors under natural lighting in southern Canada. High yields and great resistance to pests, mold and powdery mildew. Smaller pots will encourage faster yield, where larger pots will give bigger yields. Packaged in 100% compostable packaging with an insert to keep your seeds safe and protected.",,"Alpha-Pinene, Alpha-Terpineol, Beta-Myrcene, Beta-Pinene, Terpinolene","Dried Flower","[Elios Reserve Dark Shadow Haze](https://ocs.ca/products/elios-reserve-dark-shadow-haze-elios-reserve)"
24,"2023-12-30","Dried Flower","Ancestral Seeds","Durban Violette Feminized Seeds",,,"https://ocs.ca/products/durban-violette-feminized-seeds-ancestral-seeds",,,,,,,,,,"Outdoor",,,,,,,"Hybrid",,"Ancestral Seeds",,"With an uplifting high and a sweet and fruity fragrance, these feminized hybrid seeds are a Purple Papaya cross. Very vigorous and healthy growth makes this strain great for both outdoor growing or greenhouses. This energizing strain is a pleasure to grow and smoke. Terpene rich, smooth aromatic flavours include; earthy hops, fresh citrusy pine, and a warm hint of cinnamon drawn from Myrcene, Pinene and Humulene dominance. Finishing time outdoors in mid-September. Packaged in 100% compostable packaging with an insert to keep your seeds safe and protected.",,"Alpha-Humulene, Alpha-Pinene, Alpha-Terpineol, Beta-Caryophyllene, Beta-Myrcene","Dried Flower","[Bush League Sour Kush Milled Flower](https://ocs.ca/products/bush-league-sour-kush-milled-flower-back-forty)"
26,"2023-12-30","Dried Flower","Argentia Gold","Glookies",5.79,"g","https://ocs.ca/products/glookies-argentia-gold-fruit-punch-x-lemon-thai-x-banana-og",23,3,20.27,"In stock online",841885001795,20,26,0,6,"Outdoor",,"Delhi","Delhi",42.8544957,-80.4983709,"Fruit Punch X Lemon Thai X Banana OG","Indica Dominant","Very Strong","Argentia Gold","Argentia Gold Corporation","With high THC and 3% terpenes, this strain works synergistically between the cannabinoids and terpenes to enhance the experience. With alpha-cederene, beta-caryophyllene and d-limonene leading the top 3 terpenes, its hard to go wrong with this strain.",,"Alpha-Caryophyllene, Alpha-Cedrene, Delta-Limonene","Dried Flower","[Berry Smasher](https://ocs.ca/products/berry-smasher-muskoka-grown)"
27,"2023-12-30","Dried Flower","Argentia Gold","Tropicana Banana",,,"https://ocs.ca/products/tropicana-banana-argentia-gold",24,1.5,,,,22,26,0,3,"Outdoor",,,,,,,"Hybrid","Very Strong","Argentia Gold","Argentia Gold Corporation","A hybrid strain with a slight sativa dominance strain and tropical flavour that is sweet, sticky, pumped up and highly potent. Covered with glistening, sweet tropical fruit scented trichomes, Tropicana Banana is a strain from Dutch breeder Barney’s Farm. This cultivar is a cross between Tropicana Cookies and Banana Kush. Tropicana Cookies is a cross between GSC and Tangie. Banana Kush is a cross between Ghost OG and Skunk Haze. Grown in Delhi, Ontario, this flower is the first in Canada to be kiln dried. Kiln-drying can remove as much as 90% of the moisture, making the product resistant to fungal decay.",,"Alpha-Humulene, Beta-Myrcene, Delta-Limonene","Dried Flower","[Mango Haze Pre-Roll](https://ocs.ca/products/mango-haze-pre-roll-color-cannabis)"
29,"2023-12-30","Dried Flower","Ash Premium","Ash Premium",14.36,"g","https://ocs.ca/products/ash-premium-ash-premium",28,1,50.26,"In stock online",628942172311,25,31,0,2,"Indoor",,"Niagara","Niagara",43.6440753,-79.4086982,,"Hybrid","Very Strong","Ash Premium","F1NE Cannabis Cultivation LTD.","F1NE Ash Premium is a limited release pack of the most exquisite buds that have been handpicked by our expert team at F1NE Cannabis Niagara. We pour our hearts and souls into the development of cannabis and it shows in every aspect of our work. We're constantly on the lookout for new and exciting cultivars (strains) to bring to you so you can experience the best that cannabis has to offer.",,"Terpenes May Vary","Dried Flower","[B. Banner Pre-Roll](https://ocs.ca/products/b-banner-pre-roll-argentia-gold)"
30,"2023-12-30","Dried Flower","Autoflower Breeder's Club","Ice Cream Cake CBD:THC 1:1 Seeds (Autoflower)",,,"https://ocs.ca/products/ice-cream-cake-cbd-thc-1-1-auto-seeds-autoflower-breeders-club",,,36.85,"Out of stock",,,,,,"Greenhouse",,"Leamington","Leamington",42.0531166,-82.5996998,,"Hybrid",,"Autoflower Breeder's Club",,"The Wedding Cake Family (Pink Kush x Cookies) has been making some noise these last few years. Appropriately named Ice Cream Cake due to its sweet and creamy taste and smell, this ice cream flavoured cultivar can be enjoyed equally well in a bowl or a cone. Now in a CBD:THC 1:1 Autoflower format it is easy to grow while fast and early outdoors so you can harvest your own mid-summer ice cream. For best results, sprout and finish in a 5 gallon pot or larger.",,,"Dried Flower","[Platinum Cookies Pre-Rolls](https://ocs.ca/products/platinum-cookies-pre-rolls-palmetto)"
31,"2023-12-30","Dried Flower","Back Forty","Wedding Pie",4.47,"g","https://ocs.ca/products/wedding-pie-back-forty",25,0,125.16,"In stock online",628186229376,22,28,0,0,"Hybrid-Greenhouse",,,,,,,"Indica Dominant","Very Strong","Back Forty","Kolab Project","Perfect for those sunny afternoons in the Back Forty, Wedding Pie is the marriage of Wedding Cake x Grape Pie. This strain can reach potencies of up to 28% and is grown with organic practices in an advanced hybrid greenhouse. These vibrant green buds also have a flair of purple, 2.89% total terpene content and a spicy, cracked pepper profile. The top terpenes are trans-caryophyllene, linalool, farnesene, limonene, alpha-bisabolol. Always packaged in a resealable foil pouch to make sure your bud stays fresh. Back Forty requires no introduction because it already feels familiar, with a product suite that fits seamlessly into your day-to-day and without the need to overthink its purpose of providing a better experience for less. Take a trip and explore the Back Forty.",,"Alpha-Bisabolol, Beta-Caryophyllene, Cedrene, Limonene, Linalool","Dried Flower","[Pure Sun CBD Pre-Rolls](https://ocs.ca/products/pure-sun-cbd-pre-rolls-pure-sunfarms)"
33,"2023-12-30","Dried Flower","Back Forty","Bush League Sour Kush Milled Flower",4.16,"g","https://ocs.ca/products/bush-league-sour-kush-milled-flower-back-forty",26,0.5,29.12,"In stock online",628186229659,23,29,0,1,"Greenhouse",,,,,,,"Indica Dominant","Very Strong","Back Forty","Kolab Project","Back Forty milled flower is intended to be your no-work flower strain, perfect for joints and bowls. Always using quality flower, never trim and sticks.

Sour Kush is a Hybrid cross between OG Kush and Sour Diesel. The aroma can be fairly potent with a sweet citrus scent. Just like the aroma, the taste is citrus with hints of garlic.",,"Alpha-Humulene, Beta-Caryophyllene, Myrcene, Nerolidol","Dried Flower","[10th Planet Pre-Rolls](https://ocs.ca/products/10th-planet-pre-rolls-countryside)"
34,"2023-12-30","Dried Flower","Back Forty","Panda Puff",,,"https://ocs.ca/products/panda-puff-back-forty",27,0.5,,,,24,30,0,1,"Greenhouse",,,,,,,"Indica Dominant","Very Strong","Back Forty","AUXLY OTTAWA INC","Picking up Back Forty’s Panda Puff flower from Kaiser Chief will have you wondering if you just whipped up a batch of the best peanut butter cookies you’ve ever had… trail snacks anyone? With high THC and a Peanut Butter Breath x Gelato heritage, this indica will have you fuelled up on myrcene, caryophyllene, cedrene, bisabolol and limonene. There’s no better way to take a trip and explore the back forty.",,,"Dried Flower","[ICC + MAC-1 Pre-Roll Combo Pack](https://ocs.ca/products/icc-mac-1-pre-roll-combo-pack-edison-cannabis-co)"
35,"2023-12-30","Dried Flower","Back Forty","Panda Puff",,,"https://ocs.ca/products/panda-puff-back-forty-1",27,0.5,,,,24,30,0,1,"Greenhouse",,,,,,,"Indica Dominant","Very Strong","Back Forty","AUXLY OTTAWA INC","Panda Puff from Kaiser Chief's library is a rich and dreamy indica with a Peanut Butter Breath x Gelato Acai heritage. Full of myrcene, caryophyllene, cedrene, bisabolol and limonene, pack a bowl with these fresh-baked peanut butter cookies and hit the trails. Packed in a resealable pouch to maintain freshness, there’s no better way to take a trip and explore the back forty.",,,"Dried Flower","[33 Splitter](https://ocs.ca/products/33-splitter-true-fire-co-ltd)"
36,"2023-12-30","Dried Flower","Back Forty","Banana OG",6.84,"g","https://ocs.ca/products/banana-og-back-forty-banana-og",26,0.5,23.94,"In stock online",628186000104,23,29,0,1,"Greenhouse",,,,,,"Banana OG","Sativa Dominant","Very Strong","Back Forty","AUXLY OTTAWA INC","Settle in for a tropical, slow-burn with the delightful sativa that is Banana OG. Packed in a resealable pouch, and with a high THC potency. Take a trip, and explore the Back Forty with this cross between Banana Kush x OG Kush.",,,"Dried Flower","[Purple Balance Pre-Roll](https://ocs.ca/products/purple-balance-pre-rolls-pinnrz)"
39,"2023-12-30","Dried Flower","Back Forty","Apple Fritter",6.84,"g","https://ocs.ca/products/apple-fritter-back-forty",26,0.5,23.94,"In stock online",628186000081,23,29,0,1,"Greenhouse",,,,,,,"Hybrid","Very Strong","Back Forty","AUXLY OTTAWA INC","A powerful hybrid with high THC with a mix of caryophyllene, lots of limonene, humulene, pinene and linalool, this is like a nine, warm apple pastry. Packed in a resealable pouch to maintain freshness you’ll want to add this one to your bag of trailside snacks. Take a trip, explore the Back Forty.",,,"Dried Flower","[HHH Pre-Roll](https://ocs.ca/products/hhh-pre-roll-the-bc-bud-co)"
40,"2023-12-30","Dried Flower","Back Forty","Wedding Pie",5.96,"g","https://ocs.ca/products/wedding-pie-back-forty-la-kush-cake",25,0,41.72,"In stock online",628186229383,22,28,0,0,"Greenhouse",,"Leamington","Leamington",42.0531166,-82.5996998,"LA Kush Cake","Indica Dominant","Very Strong","Back Forty","AUXLY OTTAWA INC","Wedding Pie is the marriage of Wedding Cake x Grape Pie. This indica can reach high potencies of THC and boasts a terpene content of up to 2.89%. Plenty of caryophyllene, linalool, limonene and bisabolol make these vibrant green buds rich with a spicy, cracked pepper flavour. Packaged in a resealable foil pouch to make sure that it stays fresh for the long haul, take a trip and explore the Back Forty.",,"Alpha-Bisabolol, Alpha-Cedrene, Beta-Caryophyllene, Limonene, Linalool","Dried Flower","[Pineapple Nuken](https://ocs.ca/products/pineaple-nuken-divvy)"
41,"2023-12-30","Dried Flower","Back Forty","Mandarin Cookies",5.96,"g","https://ocs.ca/products/mandarin-cookies-back-forty-wedding-pie",28,0,41.72,"In stock online",628186229567,25,31,0,0,"Greenhouse",,"Leamington","Leamington",42.0531166,-82.5996998,"Wedding Pie","Sativa Dominant","Very Strong","Back Forty","AUXLY OTTAWA INC","Life's a little sweeter in the back forty and you won't want to wait for dessert to give our Mandarin Cookies a try! This sativa-dominant banger pulls a tangy citrus flavour with a hint of sweet nuttiness on the exhale. A cross of the classic CKS strain and Mandarin Sunset with some major limonene. Packaged in a resealable foil pouch to make sure that it stays fresh for the long haul, take a trip and explore the Back Forty.",,"Alpha-Bisabolol, Beta-Caryophyllene, Beta-Myrcene, Humulene, Limonene","Dried Flower","[Banjo-GPS](https://ocs.ca/products/grandpas-stash-ouest)"
43,"2023-12-30","Dried Flower","BC Black","Galactica OG",9.23,"g","https://ocs.ca/products/galactica-og-bc-black",27,1,129.22,"In stock online",836637009587,24,30,0,2,"Indoor",,"Pritchard","Pritchard",50.6874196,-119.8314194,,"Indica Dominant","Very Strong","BC Black","Joint Venture Craft Cannabis Inc.","Galactica OG is a rare indica-dominant hybrid grown in the Shuswap region of BC and created by crossing Jedi Kush x Saturn OG. The surprisingly pungent nose is dominated by skunk and fuel with a sweet earth finish. The flowers are round and emerald green with deep purple undertones and bright yellow orange hairs and a frosty coating of amber trichomes. Highly potent, this offering is aptly named Galactica, a beautiful BC grown Kush offering that connoisseurs will love.",,"Caryophyllene, Germacrene, Limonene, Myrcene, Ocimene","Dried Flower","[Blackberry Gelato Pre-Rolls](https://ocs.ca/products/blackberry-gelato-pre-rolls-wildlife)"
44,"2023-12-30","Dried Flower","BC Black","Blueberry Frost",10.35,"g","https://ocs.ca/products/blueberry-frost-bc-black-blueberry-syrup-x-permafrost",29,0.5,10.35,"Out of stock",,26,32,0,1,"Indoor",,"Salmon Arm","Salmon Arm",50.7005059,-119.2790529,"Blueberry Syrup x Permafrost","Hybrid","Very Strong","BC Black","Joint Venture Craft Cannabis Inc.","This frosty purple hybrid is a cross of Blueberry Syrup x Permafrost bred in the Shuswap region of BC by an unnamed legacy cultivator. This cultivar showcases beautiful trichome density on every surface and has a beautiful lilac colour. The nose is sweet like fresh blueberries with mellow earth notes with a sharper gas finish.",,"Alpha-Pinene, Beta-Caryophyllene, Germacrene, Limonene, Selinadienes","Dried Flower","[Reserva Privada OG18](https://ocs.ca/products/reserva-privada-og18-strain-rec)"
46,"2023-12-30","Dried Flower","Be Humble.","Cherry Diesel Cheesecake",9.56,"g","https://ocs.ca/products/cherry-diesel-cheesecake-be-humble",29,0.5,33.46,"In stock online",875429000197,26,32,0,1,"Indoor",,"Vaudreuil-Dorion","Vaudreuil-Dorion",45.3971509,-74.0254577,,"Sativa Dominant","Very Strong","Be Humble.","C3 Innovative Solutions Inc.","Be Humble's Cherry Diesel Cheesecake produces large frosty buds. With its lineage of lilac diesel, this cultivar produces citrusy floral tones with its abundance of terpinolene. Our flower is grown indoors, hang-dried and cut by hand. Cultivated and packaged in small batches with care.",,"Beta-Myrcene, Beta-Ocimene, Limonene, Terpinolene","Dried Flower","[Royal Collection Redees Pre-Roll (King Pack)](https://ocs.ca/products/royal-collection-redees-pre-roll-king-pack-redecan)"
47,"2023-12-30","Dried Flower","Big Bag O’ Buds","I.C.C.",3.72,"g","https://ocs.ca/products/i-c-c-big-bag-o-buds-ice-cream-cake",24.5,0.075,3.72,"Out of stock",,21,28,0,0.15,"Indoor",,"Moncton","Moncton",46.097995,-64.80011,"Ice Cream Cake","Indica Dominant","Very Strong","Big Bag O’ Buds","Organigram","Our Ice Cream Cake maintains that dank earthy sweetness every cake-lover expects from this indica-dominant, cookies-based varietal with a twist. The onset of Germacrene-B in our terps gives this cake a matcha-like quality. Expect chai spice to start, followed by sage, clove and astringent simple syrup once you break open these evergreen, trichome rich buds.",,"Alpha-Pinene, Caryophyllene, Limonene, Linalool, Terpenes May Vary","Dried Flower","[All Flower (3CT) FPOG Pre-Roll](https://ocs.ca/products/all-flower-3ct-fpog-pre-roll-greybeard)"
